claim,label,bert_prob,rag_confidence,max_similarity,source_weight_avg,hallucination_flag,sub_claim_count,rag_verdict,rag_raw_confidence
'big bang theory' trumps tv audience for latest republican debate,1,0.9999747276306152,0.0,0.5468,0.9,0.0,1.0,UNVERIFIABLE,0.0
us election largely peaceful despite intimidation glitches,1,0.999975323677063,0.0,0.5044,0.9,0.0,1.0,UNVERIFIABLE,0.0
us states mull contraception coverage as obamacare repeal looms,1,0.9999737739562988,0.0,0.5969,0.9,0.0,1.0,UNVERIFIABLE,0.0
obama takes two gas guzzling planes for sightseeingwhat global warming,0,3.1231411412591115e-05,0.0,0.6036,0.9,0.0,1.0,UNVERIFIABLE,0.0
judge jeanine pirro rips into the lying media in cahoots with clintons video,0,3.414505408727564e-05,0.0,0.5188,0.9,0.0,1.0,UNVERIFIABLE,0.0
diamond and silk dissect the benghazi hearings and rip hillary to shredsyou gotta see this video,0,3.246248888899572e-05,0.0,0.5569,0.9,0.0,1.0,UNVERIFIABLE,0.0
from damascus iran vows to confront israel,1,0.9999746084213257,0.0,0.6182,0.9,0.0,1.0,UNVERIFIABLE,0.0
philippines' coast guard rescues 252 passengers from capsized ferry,1,0.9999756813049316,0.0,0.826,0.9,0.0,1.0,UNVERIFIABLE,0.0
reporter shocks hillary by showing up watch the change from unsteady to alert video,0,3.434845348238014e-05,0.0,0.4905,0.9,0.0,1.0,UNVERIFIABLE,0.0
mississippi senate oks bill giving church members license to kill perceived threats,0,3.153990473947488e-05,0.0,0.5986,0.9,0.0,1.0,UNVERIFIABLE,0.0
'no more woe is me' senator mccain vows quick return to washington,1,0.9999749660491943,0.0,0.6231,0.9,0.0,1.0,UNVERIFIABLE,0.0
sudan to extend ceasefire through enddecember suna,1,0.9999760389328003,0.0,0.6462,0.9,0.0,1.0,UNVERIFIABLE,0.0
scottish parliament says security incident is over,1,0.9999761581420898,0.0,0.5329,0.9,0.0,1.0,UNVERIFIABLE,0.0
changes to north carolina voting laws could put thousands of 2016 ballots at risk,1,0.9999728202819824,0.0,0.6352,0.9,0.0,1.0,UNVERIFIABLE,0.0
morning joe panel says nikki haley embarrassed the us at the unembarrassed we think not video,0,3.166289025102742e-05,0.0,0.5076,0.9,0.0,1.0,UNVERIFIABLE,0.0
oas says honduran presidential election should be redone,1,0.9999758005142212,0.0,0.7122,0.9,0.0,1.0,UNVERIFIABLE,0.0
republican push to end obamacare collapses in senate,1,0.999974250793457,0.0,0.6844,0.9,0.0,1.0,UNVERIFIABLE,0.0
grenades thrown at homes of ugandan mps opposed to extending president's rule,1,0.9999759197235107,0.0,0.6284,0.9,0.0,1.0,UNVERIFIABLE,0.0
us senate panel puts selfdriving cars in fast lane,1,0.9999758005142212,0.0,0.6667,0.9,0.0,1.0,UNVERIFIABLE,0.0
turkish gold trader implicates erdogan in iran money laundering,1,0.9999698400497437,0.0,0.7488,0.9,0.0,1.0,UNVERIFIABLE,0.0
video hillarys van blows by elderly people in wheelchairs waiting to see her on way to manufactured event,0,3.113218554062769e-05,0.0,0.443,0.9,0.0,1.0,UNVERIFIABLE,0.0
minnesota mob of somalis rage through upscale neighborhood threatening to kidnap and rape homeowners video,0,3.1359926651930436e-05,0.0,0.4562,0.9,0.0,1.0,UNVERIFIABLE,0.0
howard dean just doubled down on trumps possible cocaine use video,0,3.24891516356729e-05,0.0,0.4878,0.9,0.0,1.0,UNVERIFIABLE,0.0
obama proposes 41 trillion spending plan in final white house budget,1,0.999975323677063,0.0,0.7,0.9,0.0,1.0,UNVERIFIABLE,0.0
teachers in peru return to class as strike winds down,1,0.9999758005142212,0.0,0.5279,0.9,0.0,1.0,UNVERIFIABLE,0.0
us senators urge nhtsa to accelerate takata air bag recall,1,0.9999734163284302,0.0,0.4021,0.9,0.0,1.0,UNVERIFIABLE,0.0
why did will and jada pinkett smith happily donate 150000 to radical racist louis farrakhans organization,0,3.3186082873726264e-05,0.0,0.4374,0.9,0.0,1.0,UNVERIFIABLE,0.0
us's mattis says eyeing provocative iran actions after trump speech,1,0.9999759197235107,0.0,0.8895,0.9,0.0,1.0,UNVERIFIABLE,0.0
clinton foundation hired cyber firm after suspected hacking sources,1,0.9999755620956421,0.0,0.6676,0.9,0.0,1.0,UNVERIFIABLE,0.0
corrupt state department deletes key info from press conferencewho demanded this,0,3.261219535488635e-05,0.0,0.5485,0.9,0.0,1.0,UNVERIFIABLE,0.0
indigenous woman registers to run for mexican presidency in 2018,1,0.9999755620956421,0.0,0.5761,0.9,0.0,1.0,UNVERIFIABLE,0.0
kurds block iraqi forces' access to kirkuk oil fields iran shuts border crossings,1,0.9999750852584839,0.0,0.7045,0.9,0.0,1.0,UNVERIFIABLE,0.0
illegal alien criminals on hunger strike in az prison give list of demands including removal of threat of deportation,0,3.0696337489644065e-05,0.0,0.5213,0.9,0.0,1.0,UNVERIFIABLE,0.0
